Paragraph,Clause Classification,Explanation,Clause Type,Clause Meaning,Clause Example
BANK GUARANTEE FORMAT To Indian Institute of Technology Palakkad Ahalia Integrated Campus Kozhipara Palakkad  678 557 Guarantee No  Date Guarantee Cover from  Amount in Rupees    Rs WHEREAS    a  Company  incorporated  under  the  companies  Act  1956  and  having  its Registered Office at  in pursuance of Purchase Order No  dated  for the supply of  AND WHEREAS it has been stipulated by you in the said contract that the supplier shall furnish you with a bank guarantee by a scheduled commercial recognized by you for the sum specified therein as security for compliance with its obligations in according with the contract AND WHEREAS we  have agreed to give the supplier such  a bank guarantee NOW THEREFORE we hereby affirm that we are guarantors and responsible to you on behalf of the supplier up to a total,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
of Rs Rupees   and we undertake to pay you upon your first written demand declaring the supplier to be default under the contract and without cavil or arguments any sum or sums within the limits of Rs Rupees only  as aforesaid without your needing to prove or to show grounds of reasons for your demand or the sum specified therein We hereby waive the necessity of your demanding the said debt from the supplier before presenting us with demand We further agree that no change or addition to or other modification of the terms of the contact to be performed there under or of any of the contract documents which may be made between you and the supplier shall in any way release us from any liability under this guarantee and we hereby waive notice of any such change addition or modification This guarantee shall be,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
valid for  from the date of final supply against PO This guarantee shall be valid until the  PO reference No  dated  Notwithstanding anything contained herein our liability under this Bank Guarantee shall not exceed amount Rs Rupees  only  This Bank Guarantee shall be valid up to and we are liable to pay the guaranteed amount or any part thereof under this bank guarantee only and only if you serve upon a written claim or demand lodged at our bank counter on or before  All claims under the guarantee will be payable at  This Guarantee will be returned to us as soon as the purpose for which it is issued is fulfilled,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses. By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
WHEREAS Name of Bidder hereinafter called the Bidder has submitted its Bid dated   Date for the execution of Name of Contract  hereinafter called the Bid in favour of hereinafter called the Employer KNOW ALL MEN by these presents that we name of the issuing  Bank a body corporate constituted under the having its Head Office at amongst others a branchoffice at  hereinafter called the Bank are bound unto the employer for the sum of Rs Rupeesonly for which payment well and truly to be made to the said Employer the Bank binds itself its successors and assigns by these presents,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
We undertake to pay to the Employer up to the above amount upon receipt of his first written demand without the Employer having to substantiate his demand provided that in his demand the Employer will note that the amount claimed by him is due to him owing to the occurrence the above condition,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
i Our liability under this Bank Guarantee shall not exceed Rs Rupees only ii This Bank Guarantee is valid up to  and iii We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only and only if you serve upon us a written claim or demand on or before mention period of guarantee as found under clause ii above plus claim period,Onerous,"Onerous clause due to the following reason(s): By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Claim Period,Specifies the timeframe during which claims can be made under the guarantee.,Claims under this guarantee must be submitted within six months from the expiry date.
FORMAT FOR BANK GUARANTEE TOWARDS SECURITY DEPOSIT AND PERFORMANCE GUARANTEE To be submitted on Rs 500  non judicial stamp paper,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
Ms Rashtriya Chemicals  fertilizers Ltd    Dear Sirs In consideration of Ms Rashtriya Chemicals and Fertilizers Limited hereinafter referred to as  RCF which expression unless repugnant to the context and meaning thereof shall include its successors and assigns having agreed to exempt Ms having its registeredprincipal office at  hereinafter referred to as  Supplier  Contractor  which expression unless repugnant to the context and meaning thereof shall includ e its successors and assigns from depositing with RCF a sum of Rs towards security  performance guarantee in lieu of the said Supplier  Contractor having agreed to furnish an irrevocable bank guarantee for the said sum of Rs  as r equired under the terms and conditions of Contract  Work Order  Purchase Order no  dated  hereinafter referred as the  Order  placed by RCF on the said supplier  contractor we   hereinafter referred to as the Bank  which expression shall include its successors and,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
1 We  the Bank hereby undertake to pay the amount under the guarantee without any demur merely on a demand received in writing from RCF stating that the Supplier   Contractor has committed breach of the terms andor conditions contained in the Order andor failed to comply with the terms and conditions as stipulated in the Order or amendments thereto The demand made on the Bank by RCF shall be conclusive as t o the breach of the terms andor conditions of the Order and the amount due and payable by the Bank under this guarantee notwithstanding any dispute or disputes raised by the said Supplier  Contractor regarding the validity of such breach and we agre e to pay the amount so demanded by RCF forthwith and without any demur However our liability under this guarantee shall be restricted to an amount not exceeding Rs  Rupees  ,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
2 We  the Bank further agree  that this irrevocable guarantee herein contained shall remain in full force and effect during the period that would be taken for the performance of the said Order and that it shall continue to be enforceable till all the dues of RCF under or by virtue of the said Order have been fully paid and its claim satisfied or discharged or till RCF certifies that the terms and conditions of the Order have been fully and properly carried out by the Supplier  Contractor and accordingly discharge the guarantee,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
