Paragraph,Clause Type,Clause Meaning,Clause Example
BANK GUARANTEE FORMAT To Indian Institute of Technology Palakkad Ahalia Integrated Campus Kozhipara Palakkad  678 557 Guarantee No  Date Guarantee Cover from  Amount in Rupees    Rs,Identification/Opening,,
WHEREAS    a  Company  incorporated  under  the  companies  Act  1956  and  having  its Registered Office at  in pursuance of Purchase Order No  dated  for the supply of ,Preamble/Recital,"The preamble or recital of a bank guarantee provides the context or background for the agreement. It typically introduces the parties involved, describes the relevant background information, and outlines the purpose of the guarantee. This part of the guarantee does not usually create binding obligations but sets the scene for the contractual terms that follow.","“WHEREAS the Company, incorporated under the laws of [Jurisdiction], with its principal office located at [Address], and [Other Party's Name], a company incorporated under the laws of [Jurisdiction], with its principal office located at [Address], have entered into a contract dated [Contract Date], pursuant to which [Description of the purpose of the contract], and"
AND WHEREAS it has been stipulated by you in the said contract that the supplier shall furnish you with a bank guarantee by a scheduled commercial recognized by you for the sum specified therein as security for compliance with its obligations in according with the contract,Requirement of Guarantee,,"This clause type specifies the condition under which one party (typically the buyer or employer) requires the other party (usually the supplier or contractor) to provide a bank guarantee. The purpose of the guarantee is to secure the fulfillment of the supplier’s obligations under the contract. The clause indicates that the guarantee must be issued by a bank recognized as a scheduled commercial bank by the party requiring the guarantee, ensuring that the bank is reputable and meets certain regulatory standards. The guarantee serves as a form of financial security and risk management, assuring the beneficiary of the contract that they will have recourse in the event that the supplier fails to meet their contractual obligations."
AND WHEREAS we  have agreed to give the supplier such  a bank guarantee,Introduction/Preamble,,This is a preparatory statement that sets the context or background of the agreement or document. It typically explains why the agreement is being made and sometimes details the relationship or past actions leading up to the agreement.
NOW THEREFORE we hereby affirm that we are guarantors and responsible to you on behalf of the supplier up to a total  of Rs Rupees   and we undertake to pay you upon your first written demand declaring the supplier to be default under the contract and without cavil or arguments any sum or sums within the limits of Rs Rupees only  as aforesaid without your needing to prove or to show grounds of reasons for your demand or the sum specified therein,Demand Clause,,"A demand clause in a bank guarantee specifies that the guarantor will pay the beneficiary immediately upon receiving a written demand. This type of clause typically stipulates that the payment must be made without the beneficiary needing to prove the failure or breach of contract by the principal (supplier, contractor, etc.). The focus is on the demand itself and not on the underlying transaction or any disputes related to it."
We hereby waive the necessity of your demanding the said debt from the supplier before presenting us with demand,Waiver of Defense,"This type of clause indicates that the guarantor waives any defenses that might relate to the primary obligor's default, ensuring that the guarantee can be called upon without first needing to take steps against the primary obligor (the supplier in this context). Essentially, it simplifies and speeds up the process for the beneficiary to claim under the guarantee without having to prove that attempts were made to collect from the supplier.","""The guarantor unconditionally and irrevocably waives all rights to require the beneficiary to proceed against, enforce any other guarantee or claim payment from the principal, or pursue any other remedy in the guarantor's power whatsoever before claiming under this guarantee."""
We further agree that no change or addition to or other modification of the terms of the contact to be performed there under or of any of the contract documents which may be made between you and the supplier shall in any way release us from any liability under this guarantee and we hereby waive notice of any such change addition or modification,Modification and Waiver,,The Modification and Waiver clause stipulates that the guarantor's obligations under the bank guarantee will remain unaffected despite any alterations to the underlying contract between the beneficiary and the principal (supplier). This clause also often includes waiving the requirement for the guarantor to be notified of such changes. The intent is to ensure that the guarantor cannot evade liability by claiming ignorance of amendments to the contract.
This guarantee shall be valid for  from the date of final supply against PO,Expiry,,"The expiry clause in a bank guarantee specifies the duration for which the guarantee will remain valid. This typically outlines the period during which the beneficiary can make a claim under the guarantee, after which the guarantee is no longer enforceable."
Notwithstanding anything contained herein our liability under this Bank Guarantee shall not exceed amount Rs Rupees  only  This Bank Guarantee shall be valid up to and we are liable to pay the guaranteed amount or any part thereof under this bank guarantee only and only if you serve upon a written claim or demand lodged at our bank counter on or before ,Limitation of Liability and Expiry,,"The ""Limitation of Liability and Expiry"" clause in a bank guarantee specifies the maximum financial liability of the bank under the guarantee and sets a definitive expiration date for the guarantee. This means that the bank's obligation to pay is capped at a specified amount and is only valid until a certain date. The clause ensures that any claims under the guarantee must be made before the expiration date and within the agreed-upon financial limits."
This Guarantee will be returned to us as soon as the purpose for which it is issued is fulfilled,Return of Guarantee,,"A Return of Guarantee clause specifies the condition under which the guaranteed document should be returned to the guarantor. This typically ensures that once the obligations under a bank guarantee are fulfilled, or the guarantee is no longer needed, the document is returned to the issuing bank to mitigate any misuse and formally conclude the guarantee."
WHEREAS Name of Bidder hereinafter called the Bidder has submitted its Bid dated   Date for the execution of Name of Contract  hereinafter called the Bid in favour of hereinafter called the Employer,Preamble/Recital,,"The Preamble or Recital clause sets out the background information, context, or purpose of the agreement. In a bank guarantee or contractual document, it serves to introduce the parties involved, describe the main objective of the contract, or summarize preceding events and understandings leading to the current agreement. It typically does not contain operative provisions yet helps outline the relationship between the parties and the framework of the agreement."
KNOW ALL MEN by these presents that we name of the issuing  Bank a body corporate constituted under the having its Head Office at amongst others a branchoffice at ,Preamble,,"The preamble in a bank guarantee serves as an introductory statement which identifies the guarantor (in this case, the bank). It outlines the basic facts of the guarantee, including the identity and headquarters of the issuing bank. This section sets the stage for the detailed conditions and terms that follow in the rest of the document."
hereinafter called the Bank are bound unto the employer for the sum of Rs Rupeesonly for which payment well and truly to be made to the said Employer the Bank binds itself its successors and assigns by these presents,Obligation/Payment Clause,,"This type of clause specifies the obligation of the guarantor (in this case, the bank) to pay a certain amount to a specified party (the employer) under the conditions set forth in the guarantee. It outlines the primary liability or financial commitment that the guarantor agrees to fulfill."
THE CONDITION of  this obligation is  If the b idder withdraws  or am ends the ir offer of empanelment before  finalization of empanelment by the employer   We undertake to pay to the Employer up to the above amount upon receipt of his first written demand without the Employer having to substantiate his demand provided that in his demand the Employer will note that the amount claimed by him is due to him owing to the occurrence the above condition,Conditional Payment,This type of clause specifies that the bank guarantee will become payable upon the fulfilment of certain conditions outlined in the clause. It outlines the event or scenario under which the guarantor (bank) is required to make a payment to the beneficiary (employer) without the need for the latter to provide extensive proof beyond stating that the condition has been met.,"""We hereby agree to pay to the beneficiary an amount not exceeding [specified amount] upon receipt of a written demand from the beneficiary stating that the contractor has failed to complete the project as per the terms of the contract dated [contract date]."""
Notwithstanding anything contained herein  i Our liability under this Bank Guarantee shall not exceed Rs,Limitation of Liability,,This clause specifies the maximum amount for which the bank can be liable under the Bank Guarantee. It defines the upper limit of financial responsibility that the bank agrees to cover in the event that the guarantee is called upon.
